A010693,明方
A010701,今無
A010702,印巒
A010704,德然
A010705,本晳
A010706,如空
A010707,慧廣
A010708,妙用
A010710,悟進
A010711,悟元
A010962,釋廣賓
A010967,厲鶚
A010969,沈鑅彪
A011029,第五世達賴喇嘛
A011053,徐增
A011083,普明
A011130,若愚
A011235,法海
A011343,了彙
A011485,守一
A011738,智誾
A011850,唐時
A011951,道智
A011969,照衣
A012025,藍理
A012040,通微
A012041,壇溪梓舟船
A012051,行海
A012052,通賢
A012053,通奇
A012054,明盂
A012055,淨現
A012057,真哲
A012087,函可
A012265,釋德介
A012664,復菴
A012696,洪希
A012731,道通
A012804,釋慧空
A012839,知訥
A012957,斗南暐
A013164,深有
A013249,惠彬
A013268,通問
A013482,行導
A013848,法清
A014328,釋祖照
A014355,法護
A014466,允汾
A014505,超悟
A014564,自覺
A014573,翠崖必
A014695,一辯
A014724,維蠲
A014742,通雲
A014878,遵式
A014950,寂蘊
A014951,真本
A015038,阿底霞
A015404,不動金剛
A015704,本善
A015856,大慧
A015946,濟璣
A015972,大然
A016164,通忍
A016193,行謐
A016202,笑堂和尚
A016222,行臻
A016227,自閒覺
A016230,真理
A016267,三塔主峰
A016277,淨斯
A016279,行聞
A016282,大成
A016286,超智
A016290,行瑋
A016340,覺音
A016343,燈炳
A016344,潤光澤
A016352,林我
A016380,蓮峰素
A016398,明林
A016400,行岳
A016401,月幢了禪師
A016402,石關
A016410,行高
A016419,懶石聆禪師
A016434,機能
A016435,達位
A016439,寂光豁
A016444,玄億
A016456,天岸昇禪師
A016465,雲叟住
A016469,本真
A016471,淨範
A016475,真衍
A016480,山暉禪師
A016482,真智
A016487,黃蓮東巖
A016490,印宸
A016491,福慧
A016498,古林
A016501,大奇
A016502,真傳
A016504,性玨
A016505,本開
A016508,普重
A016512,智操
A016514,真實
A016516,濟悟
A016519,徹綱
A016532,德富
A016535,宗宏
A016537,慧輅
